offset_um,score,n_blobs
-463.0,117682.5,5
-464.0,131580.0,6
-465.0,131884.5,5
-466.0,131835.0,5
-467.0,130437.5,6
-468.0,123802.5,5
-469.0,132726.5,5
-470.00000000000006,135532.5,5
-471.00000000000006,165607.5,6
-472.00000000000006,162749.5,6
-473.00000000000006,109140.0,6
-474.00000000000006,120060.0,6
-475.00000000000006,142545.0,5
-476.00000000000006,140377.5,5
-477.00000000000006,148710.0,6
-478.00000000000006,114509.5,6
-479.00000000000006,124642.5,6
-480.0,128478.0,5
-481.0,130314.0,5
-482.0,128775.0,5
-483.0,137784.5,6
-484.0,133110.0,5
-485.0,173513.5,6
-486.0,169951.5,5
-487.0,174967.5,6
-488.0,171020.5,6
-489.0,126702.0,6
-490.0,126410.5,6
-491.0,168412.5,6
-492.0,145287.0,5
-493.0,180571.5,6
-494.0,185850.0,6
-495.0,202292.0,6
-496.0,200900.0,6
-497.0,196170.0,6
-498.0,212670.0,5
-499.0,151374.0,6
-500.0,214147.5,6
-501.0,217436.5,6
-502.0,218262.5,6
-503.0,219288.5,6
-504.0,209815.5,5
-505.0,224664.0,5
-506.0,229217.0,6
-507.0,213627.0,6
-508.0,214835.0,6
-509.0,216112.5,6
-510.0,218280.0,6
-511.0,222450.5,5
-512.0,236647.5,6
-513.0,235457.5,6
-514.0,251430.0,6
-515.0,236990.5,6
-516.0,252611.5,6
-517.0,248709.0,6
-518.0,255127.0,6
-519.0,259690.5,6
-520.0,248204.0,5
-521.0,253007.5,6
-522.0,259275.0,6
-523.0,252077.5,6
-524.0,255395.0,5
-525.0,258700.0,6
-526.0,261611.5,5
-527.0,259662.5,6
-528.0,266815.0,6
-529.0,268151.5,6
-530.0,276565.5,6
-531.0,270405.5,6
-532.0,268722.5,6
-533.0,277267.5,6
-534.0,201150.0,6
-535.0,199155.0,6
-536.0,196222.5,5
-537.0,256912.5,5
-538.0,185002.5,6
-539.0,258315.0,6
-540.0,251047.5,6
-541.0,241612.5,5
-542.0,255124.5,6
-543.0,225010.5,6
-544.0,227077.5,6
-545.0,243912.0,6
-546.0,228149.5,6
-547.0,222508.5,6
-548.0,195840.0,5
-549.0,205912.5,6
-550.0,201832.5,6
-551.0,171237.0,6
-552.0,175664.5,6
-553.0,181217.5,6
-554.0,170392.5,6
-555.0,180266.5,6
-556.0,163113.5,6
-557.0,180907.5,6
-558.0,157190.5,6
-559.0,220065.0,5
-560.0,210371.5,6
-561.0,232050.0,5
-562.0,197370.0,6
-563.0,245274.0,6
-564.0,253210.5,6
-565.0000000000001,273813.0,6
-566.0000000000001,280323.0,6
-567.0000000000001,302800.5,6
-568.0000000000001,317749.5,6
-569.0000000000001,327605.0,6
-570.0000000000001,339635.0,6
-571.0000000000001,372189.5,6
-572.0000000000001,379957.5,6
-573.0000000000001,389220.0,6
-574.0000000000001,394758.0,6
-575.0000000000001,411315.0,5
-576.0000000000001,420195.5,5
-577.0,441405.0,6
-578.0,415564.5,6
-579.0,420240.0,6
-580.0,415641.0,6
-581.0,412972.5,6
-582.0,414592.5,6
-583.0,430185.0,6
-584.0,487164.0,6
-585.0,455812.5,6
-586.0,443062.5,5
-587.0,439875.0,6
-588.0,404837.5,5
-589.0,455238.0,6
-590.0,403962.0,5
-591.0,438687.0,6
-592.0,473922.0,6
-593.0,453383.0,5
-594.0,434457.5,5
-595.0,442353.5,5
-596.0,474264.0,6
-597.0,498326.5,6
-598.0,479482.5,6
-599.0,475520.0,6
-600.0,467417.0,5
-601.0,460967.0,5
-602.0,479315.0,5
-603.0,499542.5,6
-604.0,519852.5,6
-605.0,504455.5,6
-606.0,497301.5,6
-607.0,504095.0,6
-608.0,480769.5,6
-609.0,475496.0,6
-610.0,523981.5,6
-611.0,492211.0,6
-612.0,531282.0,6
-613.0,515344.5,5
-614.0,528625.0,6
-615.0,507300.0,6
-616.0,495492.0,6
-617.0,466021.5,6
-618.0,443310.0,6
-619.0,422725.0,6
-620.0,418986.0,6
-621.0,386897.0,6
-622.0,369637.0,5
-623.0,342362.5,6
-624.0,321928.5,5
-625.0,315210.0,6
-626.0,312609.5,6
-627.0,289435.0,6
-628.0,281695.0,6
-629.0,261550.5,6
-630.0,260994.5,6
-631.0,255137.5,6
-632.0,243184.5,6
-633.0,246787.0,6
-634.0,224728.0,5
-635.0,229916.5,6
-636.0,226255.0,6
-637.0,228277.5,6
-638.0,203745.0,5
-639.0,201960.0,5
-640.0,208207.5,5
-641.0,205657.5,6
-642.0,152617.5,6
-643.0,194055.0,5
-644.0,145987.5,6
-645.0,196477.5,6
-646.0,140598.5,6
-647.0,192760.0,6
-648.0,173915.0,5
-649.0,172423.0,5
-650.0,162067.0,5
-651.0,163851.5,6
-652.0,156660.0,6
-653.0,153876.0,6
-654.0,146677.0,6
-655.0,100947.5,6
-656.0,93704.0,5
-657.0,95920.0,6
-658.0,89167.5,6
-659.0,67290.0,6
-660.0,66952.0,6
-661.0,51972.0,5
-662.0,47685.0,6
-663.0,62475.0,6
-664.0,60945.0,6
-665.0,63622.5,5
-666.0,68008.5,6
-667.0,69409.5,6
-668.0,75191.0,6
-669.0,69232.5,5
-670.0,70380.0,5
-671.0,72229.5,6
-672.0,70365.0,6
-673.0,67230.0,6
-674.0,65082.5,6
-675.0,70840.0,6
-676.0,64741.5,6
-677.0,63502.5,5
-678.0,52530.0,5
-679.0,53167.5,5
-680.0,56355.0,5
-681.0,67575.0,5
-682.0,76627.5,5
-683.0,72037.5,5
-684.0,68977.5,5
-685.0,74587.5,5
-686.0,78914.0,6
-687.0,72420.0,5
-688.0,62900.0,6
-689.0,66810.0,5
-690.0000000000001,73567.5,5
-691.0000000000001,67830.0,5
-692.0000000000001,68625.5,6
-693.0000000000001,72319.5,6
-694.0000000000001,77917.5,6
-695.0000000000001,56187.0,6
-696.0000000000001,80962.5,6
-697.0000000000001,75607.5,6
-698.0000000000001,76755.0,6
-699.0000000000001,77010.0,6
-700.0000000000001,56992.5,5
-701.0000000000001,76882.5,6
-702.0000000000001,85935.0,6
-703.0000000000001,80707.5,6
-704.0,72123.5,5
-705.0,74134.0,6
-706.0,71216.0,5
-707.0,64260.0,5
-708.0,65407.5,5
-709.0,46920.0,5
-710.0,75735.0,6
-711.0,50235.0,6
-712.0,65280.0,6
-713.0,37995.0,6
-714.0,52785.0,5
-715.0,51382.5,5
-716.0,51255.0,5
-717.0,58522.5,6
-718.0,58777.5,6
-719.0,79305.0,5
-720.0,78412.5,6
-721.0,76372.5,5
-722.0,71527.5,6
-723.0,85177.0,6
-724.0,58724.0,6
-725.0,68107.5,6
-726.0,67856.5,6
-727.0,78870.0,6
-728.0,66245.5,5
-729.0,77905.5,5
-730.0,74276.5,6
-731.0,99386.0,6
-732.0,119541.0,6
-733.0,148209.0,6
-734.0,141643.5,6
-735.0,159245.0,5
